Rating Agency,Corporation,Rating,Rating Date,CIK,Binary Rating,SIC Code,Sector,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Operating Cash Flow Per Share,Free Cash Flow Per Share
Standard & Poor's Ratings Services,General Mills Inc.,BBB+,2010-11-11,40704,1,2040.0,NoDur,GIS,0.9233,0.4826,1.1377,39.6308,17.8066,17.8066,20.9298,15.0626,10.4574,0.8279,27.1778,-32.9413,8.6827,14.0613,0.6462,0.4849
Standard & Poor's Ratings Services,Jabil Inc.,BB+,2010-11-03,898293,0,3672.0,BusEq,JBL,1.2909,0.3901,0.7449,7.4884,2.4428,2.4428,4.5554,1.844,1.2591,2.1058,10.7213,11.6947,2.6817,6.5385,-0.7281,-1.1496
Standard & Poor's Ratings Services,Kennametal Inc.,BBB,2010-07-15,55242,1,3540.0,Manuf,KMT,2.3306,0.1909,0.2532,33.3177,4.9482,4.9482,10.0664,4.0658,2.4638,0.8308,3.7216,7.2057,2.1882,3.011,-0.6116,0.1514
Standard & Poor's Ratings Services,Kohl's Corp.,BBB+,2010-12-07,885639,1,5311.0,Shops,KSS,2.295,0.2072,0.2633,37.8275,10.822,10.822,14.8271,9.0697,5.6642,1.3053,12.3902,12.7206,7.3936,9.8233,1.9397,3.0367
Standard & Poor's Ratings Services,Koppers Holdings Inc.,B+,2010-11-23,1315257,0,2860.0,Chems,KOP,2.8907,0.8595,6.1186,15.8129,8.4401,8.4401,10.8058,3.1572,1.672,1.7449,39.5986,-319.12,3.3675,5.5655,5.4618,4.5864
Standard & Poor's Ratings Services,Korea Electric Power Corp.,A,2010-11-30,887225,1,4911.0,Utils,KEP,1.0262,0.4022,0.8289,13.2321,5.0445,5.0445,24.212,0.9484,-0.1404,0.3647,-0.1871,-0.1902,-0.0831,-0.1118,4.0751,-2.8945
Standard & Poor's Ratings Services,Madison Gas & Electric Co.,AAA,2010-12-07,61339,1,4931.0,Utils,MGEE,1.2984,0.3901,0.7712,54.097,15.8602,15.8602,23.5557,14.8303,9.5532,0.4164,10.1629,10.1629,3.9783,6.1985,3.4073,1.1577
Standard & Poor's Ratings Services,Micron Technology Inc.,B+,2010-12-03,827054,0,3674.0,BusEq,MCHP,7.9206,0.1818,0.2222,56.3708,25.847,25.847,36.0324,25.0929,22.8974,0.3766,14.1521,14.8887,8.6239,11.5795,0.3803,0.5272
Standard & Poor's Ratings Services,Microsoft Corp.,AAA,2010-11-23,789019,1,7372.0,BusEq,MSFT,2.1293,0.0966,0.1286,80.1629,38.5667,38.5667,42.8446,40.0311,30.0237,0.7256,40.628,57.5054,21.7853,36.7023,0.5805,0.7057
Standard & Poor's Ratings Services,National Grid Gas PLC,A-,2010-09-14,1004315,1,4911.0,Utils,NGG,0.7722,0.8416,5.9833,23.5097,23.5097,23.5097,31.9912,15.6564,9.9165,0.3216,31.2247,-101.48,3.0104,4.9445,13.2046,5.0787
Standard & Poor's Ratings Services,National Grid USA,A,2010-12-16,1004315,1,4911.0,Utils,NGG,0.7722,0.8416,5.9833,23.5097,23.5097,23.5097,31.9912,15.6564,9.9165,0.3216,31.2247,-101.48,3.0104,4.9445,13.2046,5.0787
Standard & Poor's Ratings Services,Newmont USA Ltd.,BBB-,2010-10-15,1164727,1,1040.0,Other,NEM,2.5095,0.2694,0.3813,60.9604,38.7541,38.7541,49.2148,38.3387,16.8332,0.3455,16.7208,16.7208,9.4578,12.2155,6.0513,2.4189
Standard & Poor's Ratings Services,Northwest Natural Gas Co.,A-,2010-06-16,73020,1,4924.0,Utils,NWN,0.8361,0.4769,1.1191,39.6503,15.6724,15.6724,21.8749,12.0264,7.4179,0.4221,11.3803,11.3803,3.1311,5.9535,9.0433,3.9589
Standard & Poor's Ratings Services,PNM Resources Inc,BB-,2010-12-14,1108426,0,4911.0,Utils,PNM,1.0265,0.4582,0.9539,45.1846,11.6488,11.6488,22.1751,5.7503,7.5446,0.3074,3.7913,4.3876,1.2301,1.9302,0.9567,-2.1853
Standard & Poor's Ratings Services,Rent-A-Center Inc.,BB-,2010-10-28,933036,0,7350.0,Other,RCII,2.6667,0.3631,0.5701,72.2395,10.7678,10.7678,32.1399,9.8246,6.0995,1.126,13.4552,-764.9637,6.8681,8.5698,4.9592,3.972
Standard & Poor's Ratings Services,Shaw Communications Inc.,BBB-,2010-11-16,932872,1,4841.0,Telcm,SJR,0.5842,0.5897,1.4374,100.0,29.5493,29.5493,50.8916,19.5588,14.3299,0.3661,22.5964,-22.3017,6.1655,9.2717,0.4769,0.303
Standard & Poor's Ratings Services,Southern Copper Corp.,BBB-,2010-04-06,1001838,1,1000.0,Other,SCCO,2.9659,0.246,0.3288,50.0351,39.7707,39.7707,47.0963,37.6092,24.8878,0.6164,24.0025,24.7254,15.4266,18.0982,1.1322,0.6584
Standard & Poor's Ratings Services,Southern Power Company,BBB+,2010-12-01,1001838,1,1000.0,Other,SCCO,2.9659,0.246,0.3288,50.0351,39.7707,39.7707,47.0963,37.6092,24.8878,0.6164,24.0025,24.7254,15.4266,18.0982,1.1322,0.6584
Standard & Poor's Ratings Services,Teck Resources Ltd.,BBB,2010-09-08,886986,1,1000.0,Other,TECK,1.5491,0.3207,0.5489,47.7195,32.5518,32.5518,47.785,34.4019,23.8597,0.2569,6.7165,7.5805,3.2783,4.5626,4.4575,3.5759
Standard & Poor's Ratings Services,TransAlta Corp.,BB+,2010-12-16,1144800,0,4911.0,Utils,TAC,0.9941,0.5642,1.3038,55.6678,13.6469,13.6469,31.4444,8.4476,6.5341,0.2838,5.7311,7.3962,2.0002,2.4976,2.5387,-1.3875
DBRS,TransAlta Corporation,BBB,2010-12-03,1144800,1,4911.0,Utils,TAC,0.9941,0.5642,1.3038,55.6678,13.6469,13.6469,31.4444,8.4476,6.5341,0.2838,5.7311,7.3962,2.0002,2.4976,2.5387,-1.3875
Standard & Poor's Ratings Services,Tutor Perini Corporation,BB-,2010-11-19,77543,0,1540.0,Other,TPC,1.2311,0.0617,0.0901,7.532,4.1061,4.1061,4.8535,3.9818,2.6604,1.8265,10.6379,24.8466,4.8592,9.9812,-0.5307,-1.2423
Standard & Poor's Ratings Services,Universal Health Services Inc.,BB+,2010-06-25,352915,0,8062.0,Hlth,UHS,1.3661,0.3479,0.535,86.5591,10.0057,10.0057,13.9404,9.1251,4.9829,1.3123,16.9743,28.7104,7.6744,11.0683,5.5076,1.6435
Standard & Poor's Ratings Services,Vector Ltd.,BBB+,2010-09-03,59440,1,6531.0,Money,VGR,2.612,1.0097,-108.8904,27.9613,17.8625,17.8625,19.1598,3.5605,3.095,1.0897,-529.8164,-22.1101,3.3725,5.1331,0.05,0.016
Standard & Poor's Ratings Services,ALLETE Inc.,A,2011-04-08,66756,1,4931.0,Utils,ALE,1.5085,0.4393,0.798,64.1566,14.9724,14.9724,23.9471,13.1312,8.3021,0.3476,7.5939,7.5939,2.8669,4.2582,2.4005,5.026
Standard & Poor's Ratings Services,Abbott Laboratories,AAA,2011-10-19,1800,1,3845.0,Hlth,ABT,1.7866,0.327,0.7097,57.0634,20.2691,20.2691,27.061,23.3832,18.6767,0.5851,24.78,155.4933,10.9275,16.677,4.6782,3.9779
Standard & Poor's Ratings Services,Abbott Laboratories,AAA,2011-11-23,1800,1,3845.0,Hlth,ABT,1.7866,0.327,0.7097,57.0634,20.2691,20.2691,27.061,23.3832,18.6767,0.5851,24.78,155.4933,10.9275,16.677,4.6782,3.9779
Standard & Poor's Ratings Services,Air Products and Chemicals Inc.,A,2011-02-16,2969,1,2810.0,Chems,APD,1.3519,0.3911,0.7246,27.0099,14.7131,14.7131,24.3091,14.7712,11.9439,0.638,16.9721,21.5018,7.1598,10.3341,0.6135,1.5522
Standard & Poor's Ratings Services,Alaska Air Group Inc.,B,2011-07-29,766421,0,4512.0,Other,ALK,1.1666,0.5429,1.3879,100.0,12.2912,12.2912,18.2933,10.595,6.5501,0.7639,22.7067,22.7067,5.0034,10.3788,1.7357,3.5875
Standard & Poor's Ratings Services,Alliant Energy Corp.,BBB,2011-07-27,352541,1,4931.0,Utils,LNT,1.2911,0.4434,0.8932,55.6386,11.5601,11.5601,20.8298,3.4867,3.2387,0.3793,4.6419,4.267,1.4254,2.3751,2.9773,-2.2315
Standard & Poor's Ratings Services,American Axle & Manufacturing Holdings Inc.,B-,2011-06-07,1062231,0,3714.0,Durbl,AXL,1.058,1.8638,-2.1577,17.5953,8.94,8.94,14.7043,5.2037,5.0548,1.0796,-24.4606,-18.3523,5.4145,21.1294,2.9232,4.0162
Standard & Poor's Ratings Services,American Axle & Manufacturing Holdings Inc.,B-,2011-07-12,1062231,0,3714.0,Durbl,AXL,1.058,1.8638,-2.1577,17.5953,8.94,8.94,14.7043,5.2037,5.0548,1.0796,-24.4606,-18.3523,5.4145,21.1294,2.9232,4.0162
Standard & Poor's Ratings Services,American Axle & Manufacturing Holdings Inc.,B,2011-10-31,1062231,0,3714.0,Durbl,AXL,1.058,1.8638,-2.1577,17.5953,8.94,8.94,14.7043,5.2037,5.0548,1.0796,-24.4606,-18.3523,5.4145,21.1294,2.9232,4.0162
Standard & Poor's Ratings Services,American States Water Co.,A+,2011-07-25,1056903,1,4941.0,Utils,AWR,1.1372,0.4426,0.9565,79.8565,18.4651,18.4651,28.5733,13.5391,8.2604,0.3354,8.2351,8.2595,2.6082,4.5899,-0.5609,-0.5196
Standard & Poor's Ratings Services,AmerisourceBergen Corp.,A-,2011-01-26,1140859,1,5122.0,Shops,ABC,1.085,0.3125,0.4548,2.9894,1.4039,1.4039,1.519,1.3065,0.8187,5.3881,21.3182,578.0447,4.3631,14.6552,1.2707,1.1387
Standard & Poor's Ratings Services,AmerisourceBergen Corp.,A,2011-10-31,1140859,1,5122.0,Shops,ABC,1.046,0.2534,0.4761,3.1247,1.5115,1.5115,1.6475,1.4206,0.8979,5.2524,24.3296,1140.864,4.6553,18.1653,0.346,0.4003
Standard & Poor's Ratings Services,Amgen Inc.,A+,2011-03-11,318154,1,2836.0,Hlth,AMGN,3.5204,0.3123,0.5581,85.2521,36.8365,36.8365,43.5926,35.3219,30.7381,0.3462,19.3243,44.5761,10.6402,13.2891,-0.2088,-0.2907
Standard & Poor's Ratings Services,Amgen Inc.,A-,2011-09-12,318154,1,2836.0,Hlth,AMGN,3.5204,0.3123,0.5581,85.2521,36.8365,36.8365,43.5926,35.3219,30.7381,0.3462,19.3243,44.5761,10.6402,13.2891,-0.2088,-0.2907
Standard & Poor's Ratings Services,Amgen Inc.,A+,2011-11-07,318154,1,2836.0,Hlth,AMGN,3.5204,0.3123,0.5581,85.2521,36.8365,36.8365,43.5926,35.3219,30.7381,0.3462,19.3243,44.5761,10.6402,13.2891,-0.2088,-0.2907
Standard & Poor's Ratings Services,Amgen Inc.,A+,2011-11-30,318154,1,2836.0,Hlth,AMGN,3.5204,0.3123,0.5581,85.2521,36.8365,36.8365,43.5926,35.3219,30.7381,0.3462,19.3243,44.5761,10.6402,13.2891,-0.2088,-0.2907
Standard & Poor's Ratings Services,Amkor Technology Inc.,B+,2011-05-10,1047127,0,3674.0,BusEq,AMKR,1.5399,0.7754,3.6802,22.0455,10.3399,10.3399,24.5792,5.8062,7.158,0.8957,40.1033,41.1568,6.4237,9.008,0.9937,0.1772
Standard & Poor's Ratings Services,Amkor Technology Inc.,BB,2011-05-17,1047127,0,3674.0,BusEq,AMKR,1.5399,0.7754,3.6802,22.0455,10.3399,10.3399,24.5792,5.8062,7.158,0.8957,40.1033,41.1568,6.4237,9.008,0.9937,0.1772
Standard & Poor's Ratings Services,Amphenol Corp.,BBB,2011-12-06,820313,1,3678.0,BusEq,APH,3.0415,0.2545,0.3415,32.5885,19.7056,19.7056,22.5993,18.6739,13.9671,0.885,21.4458,62.0711,12.5107,15.9884,-0.2345,-0.301
Standard & Poor's Ratings Services,Analog Devices Inc.,A-,2011-11-29,6281,1,3674.0,BusEq,ADI,8.3549,0.1868,0.2335,66.3658,35.8139,35.8139,39.7633,35.4605,28.9777,0.5672,22.6825,24.54,16.3121,18.4453,-0.319,-0.3534
Standard & Poor's Ratings Services,Arrow Electronics Inc.,BBB,2011-10-14,7536,1,5065.0,Shops,ARW,1.6315,0.3514,0.5605,12.9029,4.0053,4.0053,4.6026,3.6224,2.5588,1.9525,14.7523,29.9019,4.9958,9.5688,-5.2071,-5.005
Standard & Poor's Ratings Services,AstraZeneca PLC,AA-,2011-04-12,901832,1,2834.0,Hlth,AZN,1.3469,0.305,0.5313,82.3954,35.1878,35.1878,41.5498,32.9442,22.9972,0.5973,36.2327,-582.9985,13.7363,25.1819,4.0479,3.7638
Standard & Poor's Ratings Services,Atmos Energy Corp.,A,2011-04-29,731802,1,4924.0,Utils,ATO,0.7505,0.4538,1.0539,28.1939,9.9512,9.9512,14.606,6.6306,4.4161,0.6891,8.7154,13.2006,2.8069,4.7607,-2.1727,-2.4831
Standard & Poor's Ratings Services,AutoZone Inc.,BBB-,2011-06-13,866787,1,5531.0,Shops,AZO,0.8524,1.3446,-3.937,50.4134,17.9205,17.9205,20.6176,15.7621,10.0278,1.3215,-99.9386,-70.8954,13.2513,34.4436,7.7639,6.2717
Standard & Poor's Ratings Services,Automatic Data Processing Inc.,AAA,2011-11-09,8670,1,7374.0,BusEq,ADP,1.0671,0.0057,0.0057,41.9465,18.4074,18.4074,22.1519,19.5058,12.755,0.2872,20.7141,56.0533,3.6363,20.5969,0.0837,-0.0569
Standard & Poor's Ratings Services,Avery Dennison Corp.,A,2011-12-06,8818,1,2670.0,Manuf,AVY,0.928,0.4441,1.1921,24.2258,-0.187,-0.187,21.0096,-17.8666,-14.3978,1.0367,-61.2506,-557.8882,-16.6827,-34.0472,5.4923,4.5241
Standard & Poor's Ratings Services,Avnet Inc.,BBB-,2011-11-08,8858,1,5065.0,Shops,AVT,1.8374,0.239,0.3739,11.7124,3.5048,3.5048,3.8115,3.2824,2.5215,2.6787,16.4955,21.0996,6.7545,12.5539,2.0005,1.4642
Standard & Poor's Ratings Services,BCE Inc.,BBB-,2011-04-04,718940,1,4813.0,Telcm,BCE,0.6862,0.3636,0.6047,74.4855,20.9643,20.9643,39.9719,13.8145,9.7998,0.4661,13.5765,35.0689,5.4424,7.3117,5.562,2.3118
Standard & Poor's Ratings Services,BCE Inc.,BBB-,2011-07-01,718940,1,4813.0,Telcm,BCE,0.6862,0.3636,0.6047,74.4855,20.9643,20.9643,39.9719,13.8145,9.7998,0.4661,13.5765,35.0689,5.4424,7.3117,5.562,2.3118
Standard & Poor's Ratings Services,Baker Hughes Inc.,A-,2011-08-19,1701605,1,1389.0,Enrgy,BKR,2.7738,0.1992,0.2719,22.4088,9.8307,9.8307,17.2471,8.8941,5.6334,0.6271,5.7329,11.9597,3.563,4.5908,-1.8168,-2.0971
Standard & Poor's Ratings Services,Ball Corporation,BB+,2011-08-10,9389,0,3411.0,Manuf,BLL,1.6668,0.6197,1.6961,18.0328,10.021,10.021,13.5007,7.9476,6.1337,1.1014,33.0861,-59.9105,7.9189,12.5834,-0.0696,-0.3356
Standard & Poor's Ratings Services,Barrick Gold Corp.,A-,2011-05-19,756894,1,1040.0,Other,GOLD,2.7475,0.2799,0.3922,53.208,-45.4031,-45.4031,-32.2149,-44.6165,-52.532,0.3022,-27.7073,-42.4528,-16.2123,-19.9516,-2.5714,-5.1639
Standard & Poor's Ratings Services,Beazer Homes USA Inc.,CCC,2011-05-24,915840,0,1531.0,Other,BZH,34.0768,0.7531,3.051,8.4376,-11.4447,-11.4447,-10.0922,-14.9246,-3.4353,0.5209,-7.4465,-7.4465,-1.5539,-1.8382,-6.2994,-6.2974
Standard & Poor's Ratings Services,Belden Inc.,B+,2011-04-26,913142,0,3670.0,BusEq,BDC,2.4051,0.4633,0.8632,28.9519,7.5573,7.5573,11.139,4.5009,7.0273,0.9098,9.5966,35.5968,3.6119,5.1507,-0.9236,-0.6908
Standard & Poor's Ratings Services,Bio-Rad Laboratories Inc.,BBB,2011-04-29,12208,1,3826.0,BusEq,BIO,2.9632,0.3218,0.6259,56.6384,14.7375,14.7375,14.7375,11.4307,9.6253,0.6292,12.1346,19.219,6.1035,8.2292,-3.6566,-4.3562
Standard & Poor's Ratings Services,Biogen Inc.,BBB+,2011-12-06,875045,1,2836.0,Hlth,BIIB,2.4192,0.1637,0.2209,91.5135,26.4796,26.4796,34.0222,26.0771,21.3143,0.5828,16.4893,35.5125,11.1038,13.7906,2.6613,2.5546
Standard & Poor's Ratings Services,BorgWarner Inc.,BBB,2011-03-29,908255,1,3714.0,Durbl,BWA,1.4795,0.3129,0.511,19.3409,8.9212,8.9212,13.7189,8.4542,6.6763,1.0176,17.153,33.1188,7.1323,11.7857,0.5787,0.2468
Standard & Poor's Ratings Services,Braskem S.A.,BBB-,2011-03-30,1071438,1,2860.0,Chems,BAK,0.7332,0.1658,1.1917,10.5508,-12.9268,-12.9268,-4.3584,-16.8232,-15.2618,0.4697,-21.7924,-21.8191,-7.1682,-18.1801,-3.8669,-2.0854
Standard & Poor's Ratings Services,Bristol-Myers Squibb Co.,A+,2011-07-19,14272,1,2834.0,Hlth,BMY,1.9696,0.2541,0.3482,72.9162,31.1589,31.1589,34.2743,31.1589,15.8592,0.627,28.8592,64.1507,14.5225,21.5253,0.5454,0.3874
Standard & Poor's Ratings Services,Brookfield Asset Management Inc.,A,2011-07-25,1001085,1,6200.0,Money,BAM,1.1756,0.6664,1.9973,31.1455,17.3399,17.3399,27.8927,5.7358,3.7577,0.1952,2.9534,3.6758,0.7334,0.9171,0.8167,-0.3823
Standard & Poor's Ratings Services,CSX Corp.,BBB,2011-04-28,277948,1,4011.0,Other,CSX,1.1253,0.4806,0.9959,65.5792,28.8736,28.8736,37.7774,23.9376,14.6954,0.378,17.9655,17.9655,5.5542,9.3308,0.3693,0.2569
Standard & Poor's Ratings Services,CVS Health Corporation,BBB+,2011-05-09,64803,1,5912.0,Shops,CVS,1.5995,0.1867,0.2668,21.1103,6.4075,6.4075,7.9413,5.8479,3.5781,1.5406,9.0769,152.2919,5.5044,7.3826,0.6878,0.9978
Standard & Poor's Ratings Services,CVS Health Corporation,BBB,2011-11-16,64803,1,5912.0,Shops,CVS,1.5995,0.1867,0.2668,21.1103,6.4075,6.4075,7.9413,5.8479,3.5781,1.5406,9.0769,152.2919,5.5044,7.3826,0.6878,0.9978
Standard & Poor's Ratings Services,California Water Service Co.,A-,2011-06-17,1035201,1,4941.0,Utils,CWT,1.1757,0.5239,1.1602,64.3555,18.4366,18.4366,28.481,13.5126,8.179,0.2721,8.6461,8.6983,2.2254,4.1167,0.0697,-0.2621
Standard & Poor's Ratings Services,California Water Service Co.,A-,2011-12-19,1035201,1,4941.0,Utils,CWT,1.1757,0.5239,1.1602,64.3555,18.4366,18.4366,28.481,13.5126,8.179,0.2721,8.6461,8.6983,2.2254,4.1167,0.0697,-0.2621
Standard & Poor's Ratings Services,Calumet Specialty Products Partners LP,B,2011-04-12,1340122,0,2911.0,Enrgy,CLMT,1.2684,0.4778,0.9272,9.0722,3.2633,3.2633,6.4719,0.7896,0.7471,2.1548,4.3932,5.2145,1.6427,2.1897,0.6791,0.3975
Standard & Poor's Ratings Services,Calumet Specialty Products Partners LP,B,2011-08-01,1340122,0,2911.0,Enrgy,CLMT,1.2684,0.4778,0.9272,9.0722,3.2633,3.2633,6.4719,0.7896,0.7471,2.1548,4.3932,5.2145,1.6427,2.1897,0.6791,0.3975
Standard & Poor's Ratings Services,Calumet Specialty Products Partners LP,B,2011-09-08,1340122,0,2911.0,Enrgy,CLMT,1.2684,0.4778,0.9272,9.0722,3.2633,3.2633,6.4719,0.7896,0.7471,2.1548,4.3932,5.2145,1.6427,2.1897,0.6791,0.3975
Standard & Poor's Ratings Services,Cameco Corp.,A,2011-12-19,1009001,1,1090.0,Other,CCJ,3.3127,0.1644,0.215,42.795,24.3989,24.3989,34.7935,33.1256,47.4915,0.3153,13.0338,13.3021,8.5988,10.8913,1.5588,0.68
Standard & Poor's Ratings Services,Canadian Natural Resources Ltd.,BBB,2011-09-30,1017413,1,1311.0,Enrgy,CNQ,0.6882,0.2883,0.405,63.4828,31.0362,31.0362,59.101,20.095,11.8489,0.3357,12.2173,12.2173,6.0086,8.6956,0.8872,-1.4713
Standard & Poor's Ratings Services,Canadian Natural Resources Ltd.,BBB,2011-10-26,1017413,1,1311.0,Enrgy,CNQ,0.6882,0.2883,0.405,63.4828,31.0362,31.0362,59.101,20.095,11.8489,0.3357,12.2173,12.2173,6.0086,8.6956,0.8872,-1.4713
Standard & Poor's Ratings Services,Canadian Natural Resources Ltd.,BBB+,2011-11-01,1017413,1,1311.0,Enrgy,CNQ,0.6882,0.2883,0.405,63.4828,31.0362,31.0362,59.101,20.095,11.8489,0.3357,12.2173,12.2173,6.0086,8.6956,0.8872,-1.4713
Standard & Poor's Ratings Services,Cardinal Health Inc.,A-,2011-07-28,721371,1,5122.0,Shops,CAH,1.2203,0.2711,0.4278,4.0548,1.475,1.475,1.7799,1.4789,0.9343,4.4929,16.5156,60.7547,4.2283,12.0389,-1.9596,-2.0551
Standard & Poor's Ratings Services,Carpenter Technology Corp.,BBB,2011-06-27,17843,1,3312.0,Manuf,CRS,3.7607,0.3116,0.4527,12.0808,0.9761,0.9761,5.9069,0.3921,0.1585,0.7571,0.3662,0.4034,0.1326,0.2521,-0.6973,0.9587
Standard & Poor's Ratings Services,Carpenter Technology Corp.,BBB,2011-12-15,17843,1,3312.0,Manuf,CRS,2.9277,0.3445,0.6544,14.8648,5.7549,5.7549,9.7248,5.2415,4.1908,0.841,9.2397,10.2268,3.5996,6.0568,-1.1584,-1.9415
Standard & Poor's Ratings Services,Caterpillar Inc.,AA,2011-11-11,18230,1,3531.0,Manuf,CAT,1.4446,0.6529,2.6158,28.6959,9.3054,11.4516,16.8428,8.8053,6.3398,0.6652,25.3866,37.045,4.308,8.8112,-2.6804,-2.4329
Standard & Poor's Ratings Services,Cenovus Energy Inc.,BBB+,2011-01-28,1475260,1,2911.0,Enrgy,CVE,1.1167,0.2551,0.3424,25.868,13.6791,13.6791,23.4392,8.6649,7.3983,0.6075,8.4025,9.4874,3.8113,6.2591,-1.3063,1.2156
Standard & Poor's Ratings Services,Central Garden & Pet Co.,B+,2011-01-28,887733,0,5140.0,Shops,CENT,3.2334,0.4292,0.7522,33.8114,7.1587,7.1587,9.8411,4.9819,3.0081,1.3473,8.9818,20.0802,4.2264,5.127,-1.0769,-1.2493
